ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001769143-19-000001	101	Procivis AG	/s/ Achille Deodato	Achille Deodato	Chief Operating Officer	2019-03-05
0001326297-19-000001	101	NEW MILLENNIUM FUNDAMENTAL HEDGED EQUITY QP LP	Steven E. Hengst	Steven E. Hengst	CCO, Kovitz Investment Group Partners, LLC, G.P. of Issuer	2019-03-05
0001769650-19-000001	101	eWide Networks, Inc.	Jacob Berton	Jacob Berton	President	2019-03-04
0001769736-19-000001	101	Quail Meadow Apartments, LLC	David Utley	David Utley	Attorney In Fact	2019-03-05
0001764255-19-000003	101	Virginia Mezzanine & Preferred Select, LLC	Thomas Richard Litton, Jr	Thomas Richard Litton, Jr	Manager of Virginia Mezzanine and Preferred Managing Co., LL	2019-03-05
0001769527-19-000001	101	Building For Books, LLC	Nate Funk	Nate Funk	Attorney in Fact	2019-03-05
0001342577-19-000001	101	NEW MILLENNIUM FUNDAMENTAL HEDGED EQUITY LP	Steven E. Hengst	Steven E. Hengst	CCO, Kovitz Investment Group Partners, LLC, G.P. of Issuer	2019-03-05
0001767698-19-000001	101	Provenire Capital Offshore, Ltd.	/s/ Anthony Daffer	Anthony Daffer	Managing Partner of Issuer's General Partner	2019-03-05
0001745724-19-000001	101	Palmetto Clean Technology, Inc.	/s/C. Christopher Kemper	C. Christopher Kemper	Chief Executive Officer	2019-03-05
0001764255-19-000002	101	Virginia Mezzanine & Preferred Holdings, LLC	Thomas Richard Litton, Jr	Thomas Richard Litton, Jr	Manager of Virginia Mezzanine and Preferred Managing Co., LL	2019-03-05
0001690505-19-000001	101	HypeVR	Anthony Tran	Elizabeth Kraus, Immix Law Group PC, by Power of Attorney	CEO & President	2019-03-05
0001742353-19-000001	101	New Insight Holdings, Inc.	Ashlin Quirk	Ashlin Quirk	See Clarification Box in Item # 3	2019-03-05
0001554612-19-000001	101	Ionic Security Inc.	Robert Ball	Robert Ball	Chief Legal Counsel	2019-03-05
0001769197-19-000001	101	InSolve Global Credit Feeder Fund IV, L.P.	Jeff Padden	Jeff Padden	Authorized Person	2019-03-01
0001769207-19-000001	101	InSolve Global Credit Fund IV, L.P.	Jeff Padden	Jeff Padden	Authorized Person	2019-03-01
0001757088-19-000001	101	Humen, Inc.	/s/ Tinghui Zhou	Tinghui Zho	Chief Executive Officer	2019-03-04
0001710967-19-000001	101	BLUE CANOE LEARNING, INC.	/s/ Sarah Daniels	Sarah Daniels	President	2019-03-04
0001764255-19-000001	101	WLIF Select, LLC	Thomas Richard Litton, Jr	Thomas Richard Litton, Jr	Manager of WLIF Managing Co., LLC	2019-03-05
0001764600-19-000018	101	Fund EQ-WDI, a series of Equidate Investments, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001764600-19-000017	101	Fund EQ-SMI, a series of Equidate Investments, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0000919574-19-002149	101	JEB Partners, L.P.	/s/ James E. Besser	James E. Besser	Principal of the General Partner	2019-03-05
0001769139-19-000001	101	Volute Holdings Corp	/s/ Michael D. Croft	Michael D. Croft	Chief Executive Officer	2019-03-05
0001733583-19-000002	101	KSN Fund X, L.P.	/s/ James J. Connors, II	James J. Connors, II	Managing Member of General Partner of General Partner	2019-03-05
0001733530-19-000002	101	KIA X Feeder, L.P.	/s/ James J. Connors, II	James J. Connors, II	Managing Member of General Partner of General Partner	2019-03-05
0001764600-19-000016	101	Fund EQ-JOE, a series of Equidate Investments LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2018-03-05
0001727699-19-000001	101	New Core Quantitative, L.P.	/s/ Andrew S. Holpe	Andrew S. Holpe	Managing Member of the General Partner of the Issuer	2019-03-05
0001769280-19-000001	101	Note Holdings TE, LLC	Thomas Richard Litton, Jr.	Thomas Richard Litton, Jr.	Manager of Virginia Mezzanine and Preferred Managing Co., LL	2019-03-05
0001689464-19-000001	101	Alfie Investors LLC	Rhulon Todd Fowler	Rhulon Todd Fowler	Member Manager	2019-03-05
0001733531-19-000002	101	Kelso Investment Associates X, L.P.	/s/ James J. Connors, II	James J. Connors, II	Managing Member of General Partner of General Partner	2019-03-05
0001764600-19-000015	101	Winter 19 Investments, a series of FloraMcCabe Demo Day Funds, LP	Richard Thoms	Richard Thoms	Officer of the General Partner's Manager	2019-03-05
0001764600-19-000014	101	Supreme Partners 3, a Series of Supreme Partners Master, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001769532-19-000001	101	MarshBerry Connect Platform LLC	Mike Metz	Mike Metz	CFO of Marsh, Berry & Company, Inc., Manager of the Issuer	2019-03-05
0001669333-19-000002	101	FWCG Diversified Alternative Income Fund LP	Craig Martin	Craig Martin	Manager of the General Partner	2019-03-04
0001764600-19-000013	101	W19 Angel, a Series of Jude Gomila, LP	Richard Thoms	Richard Thoms	Officer of the General Partner's Manager	2019-03-05
0001603831-19-000001	101	SOLAMERE PORTFOLIO CO INVESTMENTS II, LLC	/S/ TAGGART ROMNEY	TAGGART ROMNEY	MANAGING MEMBER OF THE MANAGER OF ISSUER	2019-03-05
0001767488-19-000001	101	Arthur Ventures 2017 Opportunity Fund, LP	/s/ James Burgum	James Burgum	A Managing Director of the General Partner	2019-03-05
0001673073-19-000001	101	MC 15 Preferred Equity LLC	Kathleen Robinson	Kathleen Robinson	Managing Member of Manager of Issuer	2019-03-01
0001769732-19-000005	101	W19, a series of Hack VC, LP	Jeffrey Grimberg	Jeffrey Grimberg	Authorized Person	2019-03-05
0001767878-19-000003	101	Buffalo Angels II, LLC	David J Colligan	David J Colligan	Manager	2019-03-05
0001767845-19-000001	101	Gigantum, Inc.	J. Tyler Whitehouse	J. Tyler Whitehouse	President	2019-03-05
0001764600-19-000012	101	Osiris Partners Round Two, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001699894-19-000001	101	Pine River Volatility Arbitrage Series, a Series of Pine River Precision Fund LLC	Tim O'Brien	Tim O'Brien	Gnl Counsel, Pine River Capital Mgmt LP, its Investment Mngr	2019-03-05
0001404810-19-000001	101	Greenwoods Financial Group Inc	Bill McDonald	Bill McDonald	President and Chief Executive Officer	2019-03-05
0001769732-19-000004	101	PO Fund I, a series of PLG Master Partnership, LP	Jeffrey Grimberg	Jeffrey Grimberg	Authorized Person	2019-03-05
0001699327-19-000002	101	LEGAL & GENERAL EMERGING MARKETS FUND, LLC	Lawrence Griffin	Lawrence Griffin	General Counsel/CCO	2019-03-05
0001765553-19-000001	101	CIVICAP PARTNERS CASHFLOW FUND I, LP	/s/ JESSE MADIGAN	JESSE MADIGAN	MEMBER OF THE GENERAL PARTNER OF THE ISSUER	2019-03-05
0001769732-19-000003	101	ZIP Fund I, a series of Draft Ventures Opportunities, LP	Jeffrey Grimberg	Jeffrey Grimberg	Authorized Person	2019-03-05
0001699327-19-000001	101	LEGAL & GENERAL MSCI USA FUND, LLC	Lawrence Griffin	Lawrence Griffin	General Counsel/CCO	2019-03-05
0001769709-19-000001	101	PledgeBase, Inc.	Jason Toups	Jason Toups	CEO	2019-03-05
0001574865-19-000002	101	Value Partners Intelligent Funds-China Convergence Fund	VIVIENNE LEE	Vivienne Lee	Chief Compliance Officer of Investment Manager	2019-03-05
0001769732-19-000002	101	PL Fund I, a series of Array Ventures Parallel Funds, LP	Jeffrey Grimberg	Jeffrey Grimberg	Authorized Person	2019-03-05
0001764600-19-000011	101	Everpress, a Series of LeFund, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001768765-19-000001	101	TMG 1333 NH CO-INVEST, L.P.	/S/ GARY E. BLOCK	GARY E. BLOCK	MANAGING DIRECTOR OF THE GENERAL PARTNER OF THE ISSUER	2019-03-05
0001366558-19-000003	101	MOCANA Corp	/s/ W. William Diotte	W. William Diotte	Chief Executive Officer	2019-03-05
0001769702-19-000001	101	Mutual Agricultural Software Alliance, LLC	John McNutt	John McNutt	Manager	2019-02-28
0001764600-19-000010	101	AStern1, a Series of Viral Ventures Group, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001769732-19-000001	101	LI Fund I, a series of Array Ventures Parallel Funds, LP	Jeffrey Grimberg	Jeffrey Grimberg	Authorized Person	2019-03-05
0001626048-19-000002	101	Value Partners China A-Share Select Fund	VIVIENNE LEE	Vivienne Lee	Chief Compliance Officer of Investment Manager	2019-03-05
0001478747-19-000002	101	BCA Partners Fund, LP	Tready A. Smith	Tready A. Smith	Manager of the General Partner of the Issuer	2019-03-05
0001769446-19-000001	101	Sun FundED, LLC	Kelly Hipskind	Kelly Hipskind	Manager	2019-03-01
0001267174-19-000001	101	PASSPORT SYSTEMS INC	/s/ Gordon Kinder	Gordon Kinder	Chief Financial Officer	2019-03-05
0001764600-19-000009	101	G Peak, a Series of E Squared Investment Fund, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001769685-19-000001	101	Live Circle Inc.	Charles Chadwick	Charles Chadwick	Chief Executive Officer	2019-03-05
0001578563-19-000007	101	First Carolina Financial Services, Inc.	/s/ Ronald A. Day	Ronald A. Day	President and Chief Executive Officer	2019-03-01
0001764600-19-000008	101	G Peak, a Series of E Squared Investment Fund, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001769319-19-000001	101	One Night, Inc.	/s/ Jimmy Suh	Jimmy Suh	President	2019-03-04
0001764600-19-000007	101	PHILTER Investment I, LLC, a Series of Explorer Equity, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001764600-19-000006	101	GRC, a Series of E Squared Investment Fund, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001764600-19-000005	101	Crusoe SPV 1, a series of Ehcsor Holdings LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Administrative Manager	2019-03-05
0001764600-19-000004	101	Compute I, a series of Footnote Ventures, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001749543-19-000001	101	Lombard International Life Assurance Co Separate Account VL 207	/s/ Paul Ryan Henry	Paul Ryan Henry	Director and Counsel	2019-03-05
0001769275-19-000001	101	Date Me Off Broadway Ltd Liability Co	Elizabeth Williams	Elizabeth Williams	Manager of Grain of Sand Productions LLC, Managing Member	2019-03-05
0001764600-19-000003	101	Fund EQ-VTR, a series of Equidate Investments LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001768743-19-000004	101	SWIFTCURRENT OFFSHORE, LTD.	/s/ Matthew Truax	MATTHEW TRUAX	General Counsel and Chief Compliance Officer	2019-03-05
0001769024-19-000001	101	CoveMark NFH, LLC	/s/ Aaron Cook	Aaron Cook	Officer of Managing Member	2019-03-05
0001522561-19-000002	101	HUSKY VENTURES, INC.	Charles V Long	Charles V Long	President	2019-03-05
0001768743-19-000003	101	SWIFTCURRENT PARTNERS, L.P.	/s/ Matthew Truax	MATTHEW TRUAX	General Counsel and Chief Compliance Officer	2019-03-05
0001518266-19-000001	101	GOLUB CAPITAL PEARLS DIRECT LENDING PROGRAM, L.P.	/s/ Craig Benton	Craig Benton	Authorized Signatory	2019-03-04
0001764600-19-000002	101	Sharding Capital XI, a series of Sharding Capital Management, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Administrative Manager	2019-03-05
0001717998-19-000001	101	Good Buy Gear, Inc.	/s/ Kristin Langenfeld	Kristin Langenfeld	President	2019-03-05
0001764600-19-000001	101	Fund EQ-VTR, a series of Equidate Investments LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-03-05
0001455615-19-000001	101	Oppenheimer-Close International, Ltd.	Carl Oppenheimer	Carl Oppenheimer	Director	2019-03-05
0001750437-19-000001	101	Electric Playhouse, Inc.	John-Mark Collins	John-Mark Collins	President	2019-03-05
0001761896-19-000003	101	D&G Investment Fund 2019, LLC	Zachary Miller	Zachary Miller	Manager	2019-03-05
0001315863-19-000237	101	Prana Absolute Return Fund LP	/s/Peter Seuss	Peter Seuss	Managing member of general partner	2019-03-05
0001021681-19-000001	101	OPPENHEIMER CLOSE INVESTMENT PARTNERSHIP LP	Carl Oppenheimer	Carl Oppenheimer	Managing Member	2019-03-05
0001769360-19-000001	101	AxoSim, Inc.	/Lowry Curley/	Lowry Curley	President	2019-03-05
0000918273-19-000001	101	OPPENHEIMER SPENCE FINANCIAL SERVICES PARTNERSHIP LP	Carl Oppenheimer	Carl Oppenheimer	Managing Member	2019-03-05
0000858049-19-000001	101	P OPPENHEIMER INVESTMENT PARTNERSHIP L P	Carl Oppenheimer	Carl Oppenheimer	Managing Member	2019-03-05
0001522561-19-000001	101	HUSKY VENTURES, INC.	Charles V Long, Jr.	Charles V Long Jr.	President	2019-03-05
0001749507-19-000001	101	Lombard International Life Assurance Co Separate Account VL 203	/s/ Paul Ryan Henry	Paul Ryan Henry	Director and Counsel	2019-03-05
0001012975-19-000215	101	Firebird U.S. Value Fund, L.P.	/s/ Steve Gorelik	Steve Gorelik	Principal of General Partner	2019-03-05
0001012975-19-000214	101	FIREBIRD REPUBLICS FUND LTD	/s/ Harvey Sawikin	Harvey Sawikin	Director of Issuer	2019-03-05
0001725966-19-000001	101	Lombard International Life Assurance Co Separate Account VA 191	/s/ Paul Ryan Henry	Paul Ryan Henry	Director and Counsel	2019-03-05
0001012975-19-000213	101	FIREBIRD FUND, L.P.	/s/ Harvey Sawikin	Harvey Sawikin	Director of General Partner of Issuer	2019-03-05
0000945621-19-000100	101	Inferent Plenary Fund LP	/s/ Jose Marques	Jose Marques	Manager of the General Partner	2019-03-05
0001012975-19-000212	101	FIREBIRD AVRORA FUND LTD	/s/ Harvey Sawikin	Harvey Sawikin	Director of Issuer	2019-03-05
0001769423-19-000002	101	Titan Syndication L.P.	/s/ Gordon Purvis	Gordon Purvis	Director of the GP	2019-03-05
0001733053-19-000001	101	AllianzGI Structured Alpha U.S. Fixed Income 250 LLC	Peter Bonanno	Peter Bonanno	Chief Legal Officer of Managing Member	2019-03-05
0001540684-19-000002	101	Brazil Minerals, Inc.	Marc Fogassa	Marc Fogassa	Chief Executive Officer	2019-03-05
0001728362-19-000001	101	GlobeFlex Frontier All Cap, L.P.	Jennifer O'Connell	Jennifer O'Connell	Chief Financial Officer	2019-03-05
0001769630-19-000001	101	Glenmede Private Investment Fund XI, L.L.C.	OAO	Olumide Onafowora	Officer, The Glenmede Trust Company, N.A., fund manager	2019-03-05
0001746854-19-000002	101	savedroid Inc	Fabian Keller	Fabian Keller	CFO and General Counsel	2019-03-05
0000950172-19-000040	101	Diversified Core Strategies Fund, LLC	/s/ Robert P. Morgan	Robert P. Morgan	Manager of the Investment Manager	2019-03-04
0001393725-19-000027	101	Mondrian China Concentrated Equity Fund, L.P.	/s/ Heather Hill	Heather Hill	Executive Officer of the General Partner of the Issuer	2019-03-04
0000950172-19-000038	101	Alpha Core Strategies Feeder Fund	/s/ Robert P. Morgan	Robert P. Morgan	Senior Vice President of the Investment Manager	2019-03-04
0000950172-19-000037	101	Alpha Core Strategies Fund	/s/ Robert P. Morgan	Robert P. Morgan	President	2019-03-04
0001769672-19-000001	101	Team Genji, Inc.	William Collis	William Collis	CEO	2019-02-26
0001601543-19-000003	101	BCA Alternative Income Fund, LP	Tready A. Smith	Tready A. Smith	Manager of the General Partner of the Issuer	2019-03-04
0001080368-19-000009	101	Modern Market Technologies, Inc.	//Jose Frausto/	Jose Frausto	President	2019-03-04
0001768800-19-000001	101	Keneh Ventures Fund II LP	Andrew Laub	Andrew Laub	Manager of Keneh Ventures LLC	2019-02-21
0001716170-19-000003	101	Expanesthetics, Inc	/Mark Holman/	Mark Holman	Chief Executive Officer	2019-03-04
0001683168-19-000541	101	Vuuzle Media Corp.	/s/ John Lamb	John Lamb	President	2019-02-15
0001716170-19-000002	101	Expanesthetics, Inc	/Mark Holman/	Mark Holman	Chief Executive Officer	2019-03-04
0001768986-19-000001	101	Beta One, LP	Vahan Saakian	Vahan Saakian	Manager	2019-03-04
0001716170-19-000001	101	Expanesthetics, Inc	/Mark Holman/	Mark Holman	Chief Executive Officer	2019-03-04
0001735037-19-000001	101	Agronomic Capital, LP	Adam Nugent	Adam Nugent	Manager of the General Partner	2019-03-04
0001769453-19-000001	101	Dorai Home, Inc.	Kelsey O'Callaghan	Kelsey O'Callaghan	President	2019-03-04
0001393725-19-000026	101	RiverGlade Capital, L.P.	/s/ Daniel Rosenberg	Daniel Rosenberg	Manager of the Manager of the General Partner of the Issuer	2019-03-04
0001602245-19-000001	101	NextHealth Technologies, Inc.	Ron Villarreal	Ron Villarreal	Secretary	2019-03-04
0001754834-19-000001	101	E-Dental Services, LLC	Gary Wald	Gary Wald	CEO of the Issuer	2019-03-04
0001699229-19-000001	101	KIDS Capital Fund, L.P.	/s/ Ali Heyat	Ali Heyat	Partner	2019-03-04
0001721390-19-000001	101	Miramac Partners LP	EJ Kavounas	Edmond J. Kavounas	Manager of the General Partner of the Issuer	2019-03-04
0001769507-19-000001	101	POD Fund I, a series of Riverside Ventures, LP	Coleman Miller	Coleman Miller	Officer of the Manager of the Issuer's General Partner	2019-03-04
0000950172-19-000046	101	Systematic Alternatives Fund, Ltd.	/s/ Robert P. Morgan	Robert P. Morgan	Senior Vice President of the Investment Manager	2019-03-04
0000950172-19-000045	101	Systematic Alternatives Fund, LLC	/s/ Robert P. Morgan	Robert P. Morgan	Senior Vice President of the Manager	2019-03-04
0000950172-19-000044	101	Equity Long/Short Opportunities Feeder Fund, Q.P.	/s/ Robert P. Morgan	Robert P. Morgan	Senior Vice President of the Investment Manager	2019-03-04
0000950172-19-000043	101	Equity Long/Short Opportunities Feeder Fund	/s/ Robert P. Morgan	Robert P. Morgan	Senior Vice President of the Investment Manager	2019-03-04
0000950172-19-000042	101	Equity Long/Short Opportunities Fund	/s/ Robert P. Morgan	Robert P. Morgan	President	2019-03-04
0000950172-19-000041	101	Diversified Core Strategies Fund, Ltd.	/s/ Robert P. Morgan	Robert P. Morgan	Senior Vice President of the Investment Manager	2019-03-04
0001393725-19-000052	101	Mondrian All Countries World Ex US Equity Fund LP	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000051	101	MONDRIAN EMERGING MARKETS EQUITY FUND LP	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000050	101	MONDRIAN FOCUSED EMERGING MARKETS EQUITY FUND L P	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000049	101	Mondrian Global All Countries World Equity Fund, L.P.	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000048	101	MONDRIAN GLOBAL DEBT OPPORTUNITIES FUND LP	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000047	101	MONDRIAN GLOBAL EQUITY FUND LP	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000046	101	MONDRIAN GLOBAL FIXED INCOME FUND LP	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000045	101	Mondrian Hard Currency Emerging Markets Debt Fund L.P.	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000044	101	Mondrian International Aggregate Fixed Income Fund, L.P.	/s/ Heather Hill	Heather Hill	Executive Officer of the General Partner of the Issuer	2019-03-04
0001393725-19-000043	101	Mondrian International Equity ESG Fund, L.P.	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000042	101	MONDRIAN INTERNATIONAL EQUITY FUND LP	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000041	101	MONDRIAN INTERNATIONAL SMALL CAP EQUITY FUND L P	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000040	101	MONDRIAN LOCAL CURRENCY EMERGING MARKETS DEBT FUND, L.P.	/s/ Heather Hill	Heather Hill	Executive Officer of the general partner of the Issuer	2019-03-04
0001393725-19-000039	101	Mondrian U.S. Equity Fund, L.P.	/s/ Heather Hill	Heather Hill	Executive Officer of the General Partner of the Issuer	2019-03-04
